Title,Artist,Genre,Release,Rating
Wishful Thinking [CD],Neck Deep,Pop,01/14/2014,4.9
Nothing Personal [CD],All Time Low,Pop,07/07/09,4.7
Trident Wolf Eclipse [CD],Watain,Pop,01/05/18,4
Humanz [CD],Gorillaz,Electronic/Dance,04/28/2017,4.4
Revival [CD],Selena Gomez,Pop,12/04/15,4.7
Strange Case Of... [Bonus Track] [CD] [PA],Halestorm,Pop,04/16/2013,4.7
Demon Days [CD] [PA],Gorillaz,Pop,05/24/2005,4.7
The Weight Is Over: Hypnosis/Meditation For Lasting Weight Loss [CD],Roberta Shapiro,New Age,10/28/2013,
The  Fairy Garden [CD],David Arkenstone,New Age,09/23/2016,
The Mask and Mirror [Enhanced] [CD],Loreena McKennitt,Folk,11/14/2006,
Spices [CD],Pierre Bensusan,New Age,08/07/12,
Visit [LP] - VINYL,Loreena McKennitt,World,06/24/2016,
Romance '76 [CD],Peter Baumann,New Age,11/25/2016,
The Very Best of Era [CD],ERA,Electronic/Dance,01/25/2005,
Songs of the Civil War [CMH] [CD],Various Artists,Country,05/08/01,
Tubular Bells III [CD],Mike Oldfield,New Age,09/15/1998,
Prayers on the Wind: Native American & Silver Flutes [CD],Peter Ali,New Age,04/06/18,
East of the Full Moon [CD],Deuter,New Age,11/08/05,
Oxygène 3 [CD],Jean Michel Jarre,Electronic/Dance,03/24/2017,
Best of Gregorian: 1990-2010 [CD],Gregorian,Holiday,02/22/2011,
Mask and Mirror [LP] - VINYL,Loreena McKennitt,Folk,09/30/2016,
Bill & Gloria Gaither Present: Amazing Grace [CD],Bill Gaither,Gospel & Christian,08/28/2007,
Live at Kilden [20Th Anniversary Concert] [CD],Secret Garden,New Age,09/09/16,
Sounds of Nature: Eye of the Storm [CD],Various Artists,Soundtracks & Shows,01/25/2005,
The Hymns Collection [CD],Paul Cardall,New Age,03/01/08,
Legacy of Barbara Streisand [CD],Tom McBryde,Easy Listening,04/21/2009,
Just Wright for Christmas [CD],Danny Wright,New Age,09/18/2012,
Out of Silence [CD],Yanni,New Age,04/21/2009,
Liverpool: Re-Imagining the Beatles [CD],David Lanz,New Age,03/01/11,
Celtic Ragas [CD],Chinmaya Dunster,World,07/02/02,
Forever Blowing Bubbles [CD],Clearlight,Electronic/Dance,07/08/14,
33 Bowls: Tibetan Singing Bowls [CD],33 Bowls,New Age,05/12/10,
In the Midst of Beauty [CD],Michael Schenker,New Age,10/20/2017,
Kundalini Yoga for Wisdom & Self-Mastery: Refining [DVD],Mahan Rishi Singh,New Age,11/12/13,
How the West Was Lost [CD],Peter Kater,New Age,04/25/1993,
A Windham Hill Retrospective [CD],Alex de Grassi,New Age,02/16/2010,
Runaljod: Yggdrasil [LP] - VINYL,Wardruna,New Age,09/04/15,
A Windham Hill Christmas: The Night Before Christmas [CD],Various Artists,Holiday,07/01/10,
Relaxation [Windham Hill] [CD],Various Artists,New Age,07/27/2004,
Nathan Pacheco [Enhanced CD],Nathan Pacheco,New Age,09/18/2012,
Tender Mercies [CD],Steven Sharp Nelson,New Age,02/01/06,
"How the West Was Lost, Vol. 2 [CD]",Peter Kater,New Age,01/03/95,
Runaljod: Yggdrasil [CD],Wardruna,New Age,04/02/13,
Windham Hill Records: Guitar Sampler [CD],Various Artists,New Age,07/28/2009,
Greatest Hits [UK] [CD],Gipsy Kings,Latin,05/10/99,
A  Windham Hill Retrospective [CD],Patrick O'Hearn,New Age,03/30/2010,
Tubular Bells [2009 Deluxe Edition] [CD],Mike Oldfield,New Age,06/09/09,
Bamboo Forest [CD],Deuter,New Age,02/09/18,
Live [CD],Jake Shimabukuro,New Age,04/14/2009,
Best of David Lanz [CD],David Lanz,New Age,01/25/2005,
Senses [CD],Omar Sosa,World,01/14/2014,
Synthesis [CD],Evanescence,Pop,11/10/17,4.4
 28 Days in the Valley [CD] [PA],DOROTHY,Pop,03/16/2018,
Tell Me You Love Me [Deluxe Edition] [CD] [PA],Demi Lovato,Pop,09/29/2017,4.8
Wolves [Bonus Tracks] [Only @ Best Buy] [CD],Rise Against,Pop,06/09/17,4.2
Siamese Dream [LP] - VINYL,The Smashing Pumpkins,Pop,11/29/2011,5
Greatest Hits: Decade #1 [CD],Carrie Underwood,Country,12/09/14,4.8
Descendants 2 [Original TV Movie Soundtrack] [CD],Original Soundtrack,Children's,07/21/2017,4.8
Slipknot [Reissue] [CD] [PA],Slipknot,Pop,06/29/1999,4.6
The Essential Simon & Garfunkel [CD],Simon & Garfunkel,Folk,10/14/2003,4.8
Blue & Lonesome [CD],The Rolling Stones,Pop,12/02/16,4.7
Now That's What I Call Music! 63 [CD],Various Artists,Pop,08/04/17,4.4
Premonition [Remastered] [CD],John Fogerty,Pop,12/08/17,4.7
Hopeless Fountain Kingdom [CD],Halsey,Pop,06/02/17,4.7
Singles 1969-1981 [CD],Carpenters,Pop,05/23/2000,4.9
Super Hits [CD],Johnny Cash,Country,07/01/16,4.5
Rumours [35th Anniversary Edition] [LP] - VINYL,Fleetwood Mac,Pop,04/16/2011,5
The  Book of Souls: Live Chapter [CD],Iron Maiden,Pop,11/17/2017,5
The Very Best of Cher [Warner Bros #1] [CD],Cher,Pop,04/01/03,4.9
Graveyard Shift [CD],Motionless in White,Pop,05/05/17,4.7
Close to the Edge [CD],Yes,Pop,06/21/2011,5
An  Introduction To [CD],Al Stewart,Pop,04/14/2017,4.5
Greatest Hits [LP] - VINYL,James Taylor,Pop,12/03/13,4.6
Superunknown [LP] - VINYL,Soundgarden,Pop,06/03/14,4.9
Bad [LP] - VINYL,Michael Jackson,Pop,05/06/16,5
1989 [LP] - VINYL,Taylor Swift,Pop,12/09/14,4.7
Slow Death [CD],Carnifex,Pop,08/05/16,4.9
Now That's What I Call Disney Princess [CD],Various Artists,Children's,10/30/2015,4.8
Greatest Hits [CD],Pitbull,Pop,12/01/17,4.7
Greatest Hits 1974-78 [CD],Steve Miller,Pop,10/25/1990,4.9
"Party Tyme Karaoke: Super Hits, Vol. 23 [CD + G]",Karaoke,Pop,03/17/2015,4.6
Sounds of Nature: Whale Songs/Recordings from the Deep [CD],Sounds Of Nature,New Age,11/02/07,
MOSAIC [CD],311,Pop,06/23/2017,4.6
Add Violence [CD],Nine Inch Nails,Pop,10/13/2017,4.3
The Best of Both Worlds [CD],Van Halen,Pop,07/20/2004,4.8
OK Computer: OKNOTOK 1997 2017 [2 CD] [CD],Radiohead,Pop,07/07/17,4.8
Born to Run [LP] - VINYL,Bruce Springsteen,Pop,06/16/2015,4.9
The Velocity of Love [CD],Suzanne Ciani,New Age,12/05/95,
Surrender [CD],Shekinah Glory Ministry,New Age,09/25/2012,
Some Nights [CD],Fun.,Pop,02/21/2012,4.6
Evolve [LP] - VINYL,Imagine Dragons,Pop,07/21/2017,5
Witness [CD] [PA],Katy Perry,Pop,06/09/17,4.1
Harry Styles [CD],Harry Styles,Pop,05/12/17,4.6
Ladies & Gentlemen: The Best of George Michael [CD],George Michael,R&B Soul,11/10/98,4.8
Zion and Bryce Canyon Soundscapes [CD],Jill Haley,New Age,08/29/2012,
Nature Sound Series: Forest Ambience (Nature Sounds Only Version) [CD],Various Artists,New Age,10/12/06,
Greatest Hits: The Atlantic Years [CD],P.O.D.,Pop,06/03/08,4.6
19 [Limited Edition] [LP] - VINYL,Adele,Pop,06/10/08,4.8
Bleach [LP] - VINYL,Nirvana,Pop,10/01/93,4.7
What If Nothing [CD],Walk the Moon,Pop,11/10/17,4.4
Top of the Line [CD] [PA],Rittz,Pop,05/06/16,4.8
"The Gaither Gospel Series: Best of Homecoming, Vol. 1 [CD]",Bill & Gloria Gaither,Gospel & Christian,03/11/97,
More Than 50 Most Loved Hymns [CD],Various Artists,Gospel & Christian,03/15/2005,
Nature Sound Series: Tropical Ocean Surf [Nature Sounds with Relaxation Music] [CD],Various Artists,New Age,04/26/2007,
The Getaway [CD],Red Hot Chili Peppers,Pop,06/17/2016,4.5
Anti [Deluxe Version] [CD] [PA],Rihanna,Pop,02/05/16,4.5
Born to Touch Your Feelings: Best of Rock Ballads [CD],Scorpions,Pop,11/24/2017,3.8
Yogafit: Music for Slow Flow Yoga [CD],Gabrielle Roth,New Age,07/02/02,
The Book of Secrets [LP] - VINYL,Loreena McKennitt,Folk,04/07/17,
Sounds of Nature: The Rainforest [CD],Various Artists,New Age,05/17/2005,
"Yogafit: Music for Slow Flow Yoga, Vol. 2 [CD]",Gabrielle Roth,New Age,01/28/2003,
Sleep Sound In Jesus: Gentle Lullabies For Baby [CD],Michael Card,Gospel & Christian,08/27/2013,
Chakra Flow: Music For Yoga and Meditation [CD],Christopher Krotky,New Age,10/27/2014,
Winter's Songs: A Windham Hill Christmas [CD],Various Artists,Holiday,09/28/2010,4
A Windham Hill Christmas: I'll Be Home for Christmas [CD],Various Artists,Holiday,10/12/04,
All About You [CD],Kenneth Cope,Gospel & Christian,02/05/08,
Yoga [CD],Mauro Sereno,New Age,03/22/2013,
Niguma [CD],Sangeeta Kaur,New Age,09/15/2017,
Mosquito/See Through [CD],The Necks,Jazz,10/23/2006,
Worship [CD],Guy Penrod,Gospel & Christian,05/27/2014,
Epiphany [CD],Manose,World,02/02/10,
Come Play Yoga! [CD],Karma Kids Yoga,New Age,01/01/08,
Worldbeat Asia [CD],David Lyndon Huff,World,04/20/2010,
Penguin Cafe Orchestra [CD],Penguin Cafe Orchestra,New Age,07/10/15,
Einsjager & Siebenjager [Bonus Track] [CD],Popol Vuh,Electronic/Dance,12/18/2012,
Complete Relax: The Best Songs for the Relaxation [CD],Various Artists,New Age,03/09/10,
Jurassic [CD],Virtual Audio Project,New Age,08/15/2006,
Son of Chakradancer [CD],Brainscapes,New Age,06/11/13,
"Structures, Vol. 2 [CD]",John Digweed,Electronic/Dance,06/28/2011,
Touch of Eternity [CD],Merlino,New Age,07/15/2016,
Awakened Earth [CD],Mirabai Ceiba,New Age,09/13/2011,
"A Time for Relaxation, Vol. 1: Guided Relaxation Techniques for Wellness [CD]",Beth Freschi,New Age,08/21/2012,
Beautiful Time [CD],Various Artists,New Age,06/16/2015,
Desde el Anden [CD],Luis Rizzo,Latin,08/31/2010,
The Best of David & Diane Arkenstone [CD],David Arkenstone,Easy Listening,03/09/10,
"Mo'bop, Vol. 2 [CD]",Kazumi Watanabe,Jazz,10/26/2004,
Caribbean Shores [Laserlight] [CD],Relaxation & Meditation,Easy Listening,02/17/2003,
New Dawn [CD],Libera,New Age,09/02/08,
Hold on to Love [CD],Karen Drucker,New Age,06/17/2003,
Trees of Gold [CD],John Adorney,New Age,06/13/2006,
Relaxation [Wagram] [CD],Various Artists,New Age,10/07/16,
The Roswell Incident [CD],Randy Granger,World,01/25/2008,
World of Tantra [CD],Various Artists,New Age,05/01/07,
Undertow [LP] [PA],Tool,Pop,09/17/1996,4.7
Live at Radio City Music Hall [CD/BR] [CD],Joe Bonamassa,Blues,10/02/15,4.8
The  Snake King [CD],Rick Springfield,Pop,01/26/2018,4.2
Greatest Hits: God's Favorite Band [LP] - VINYL,Green Day,Pop,11/17/2017,5
This House Is Not for Sale [Deluxe Edition] [CD],Bon Jovi,Pop,11/04/16,4.5
Ultimate Hits [LP] - VINYL,Steve Miller,Pop,10/27/2017,4.6
19 [CD],Adele,Pop,06/24/2008,4.5
Pitch Perfect 3 [Original Motion Picture Soundtrack] [CD],Original Soundtrack,Holiday,12/15/2017,4.7
Cryptoriana: The Seductiveness of Decay [CD],Cradle of Filth,Pop,09/22/2017,4.6
Songs of Experience [CD],U2,Pop,12/01/17,4.5
Chaos [CD],Attila,Pop,11/04/16,4.4
The Mission [CD],Styx,Pop,06/16/2017,4.5
Live at the Royal Albert Hall [CD & DVD] [PA],,,11/29/2011,4.8
Duality [CD],Set It Off,Pop,10/14/2014,4.8
Beyond Hell/Above Heaven [Bonus Track] [CD],Volbeat,Pop,04/24/2012,4.8
"If There Is Light, It Will Find You [CD]",Senses Fail,Pop,02/16/2018,4.8
Great Southern Trendkill [Bonus Disc] [CD] [PA],Pantera,Pop,10/21/2016,4.7
Got Your Six [CD] [PA],Five Finger Death Punch,Pop,09/04/15,4.7
Are You Serious [CD],Andrew Bird,Pop,04/01/16,
Blood for Blood [CD] [PA],Hellyeah,Pop,06/10/14,4.7
Live at the Hollywood Bowl [Bonus Tracks] [CD],The Beatles,Pop,09/09/16,4.8
Diamonds [2 CD] [CD],Elton John,Pop,11/10/17,4.8
The Stranger [LP] - VINYL,Billy Joel,Pop,06/24/2008,5
Two Hearts [CD],Jackie Evancho,Pop,03/31/2017,5
Vengeful Ascension [CD],Goatwhore,Pop,06/23/2017,4.8
Greatest Hits [CD],James Taylor,Pop,06/08/04,4.7
Weezer [Blue Album] [CD],Weezer,Pop,05/10/94,4.6
The Essential Billy Joel [CD],Billy Joel,Pop,10/02/01,4.8
Rumours [35th Anniversary Deluxe Edition] [LP] - VINYL,Fleetwood Mac,Pop,04/16/2011,5
Whitesnake [CD],Whitesnake,Pop,10/06/17,5
Younger Now [CD],Miley Cyrus,Pop,09/29/2017,4.1
1999 [CD],Prince,Pop,10/25/1990,4.8
A New Reality [CD],Operation: Mindcrime,Pop,12/01/17,4
How the West Was Won [Video] [Blu-Ray Disc],,,03/23/2018,
Now #1s [CD],Various Artists,Pop,05/04/15,4.7
By the Way I Forgive You [CD],Brandi Carlile,Pop,02/16/2018,5
Jomsviking [CD],Amon Amarth,Pop,03/25/2016,4.7
"Greatest Hits, Chapter 1 [CD]",Kelly Clarkson,Pop,11/19/2012,4.6
The  Very Next Thing [CD],Casting Crowns,Gospel & Christian,09/16/2016,4.9
The  Essential Pearl Jam [CD],Pearl Jam,Pop,10/22/2013,4.7
reputation [Picture Disc] [2 LP] [LP] - VINYL,Taylor Swift,Pop,12/15/2017,4
Unchained Melody [Curb] [CD],The Righteous Brothers,Pop,09/17/1990,4.5
Now That's What I Call Power Ballads: Hits  [CD],Various Artists,Pop,02/05/16,4.6
I'm Comin' Over [CD],Chris Young,Country,11/13/2015,4.7
Human [CD],Three Days Grace,Pop,03/31/2015,4.4
To Be Everywhere Is to Be Nowhere [CD],Thrice,Pop,05/27/2016,4.6
The Essential Barbra Streisand [CD],Barbra Streisand,Vocal,01/29/2002,4.7
Genesius Guild: Our Heart Sings [CD],Genesius Guild,Jazz,02/08/05,
Beyond the Gates of Heaven [CD],Royal Kona Harp Ensemble,New Age,06/30/2017,
Open Your Heart [CD],Mark Thunderwolf,World,10/02/11,
"Daylight, Moonlight: Live in Yakushiji [CD]",Kitaro,New Age,10/08/02,
The Illuminated Path [CD],Ashana,New Age,01/08/13,
Guardando il Mare [CD],Maurizio Colonna,New Age,05/30/2006,
Lullaby for the Hearts of Space [CD],Kevin Braheny,New Age,06/16/2017,
The Road Eternal [CD],Steve Roach,New Age,06/14/2011,
Hearts to the Sun [CD],David Fein,New Age,03/09/04,
Meditations for Couples [CD],Cindy Lora-Renard,New Age,09/01/12,
Christmas Song [LP] - VINYL,Mannheim Steamroller,New Age,10/13/2017,
Return To Simplicity [CD],Nanjing Dynasty Orchestra,New Age,11/09/99,
Melodies of the Nightingale for the Family [CD],Elika Ehsani Mahony,New Age,03/30/2004,
Black or White: New Age Renditions of Michael Jackson [CD],Judson Mancebo,New Age,08/13/2013,
Painting the Sun [CD],David Lanz,New Age,08/19/2008,
The Katurran Odyssey [CD],Jeff Johnson & Brian Dunning,New Age,08/24/2004,
Shemah: The Calling [CD],Ani Williams,New Age,02/13/2007,
Through the Great Smoky Mountains [Enhanced CD],Nicholas Gunn,New Age,09/10/13,
Scaramouche [CD],Stephen Caudel,New Age,07/10/07,
Assemblance of Rings [CD],Frank Smith,New Age,07/09/02,
Spiritual Healing [CD],Deuter,New Age,03/11/08,
Hennie Bekker's Tranquility: A Time for Romance [CD],Hennie Bekker,New Age,10/27/2005,
Jhoom: The Intoxication of Surrender [CD],Gabrielle Roth,New Age,02/17/2009,
Let It Be So [CD],Paloma Devi,New Age,07/08/14,
Merengue & Cumbia [CD],Grupo Merecumbe,World,11/07/06,
Smooth Jazz Number Ones [Shanachie] [CD],Various Artists,Jazz,09/12/00,
"Zen Connection, Vol. 3 [CD]",Various Artists,New Age,09/08/09,
Christian Meditation: Supernatural Healing Power Of The Word [CD],Growing Prosperity Productions,New Age,12/14/2011,
Thunder Drums [CD],Various Artists,New Age,05/05/17,
"Love Will Come: The Music of Vince Guaraldi, Vol. 2 [CD]",George Winston,New Age,02/02/10,
Best of the Mike Curb Congregation: Inspirational [CD],The Mike Curb Congregation,New Age,07/27/2004,
Global Fusion: World Peace Through World Music [CD],Emam,New Age,10/18/2005,
Breath of Voavah [CD],Prem Joshua,New Age,08/18/2017,
Whispering Waters [CD],Moodtapes,New Age,01/04/00,
Sounds of Australia in 3D [CD],Somatic Sounds,New Age,01/01/11,
India Club and Lounge [CD],Atman,Electronic/Dance,12/16/2008,
Earth [CD],Alex Theory,New Age,06/02/09,
Stretching für Anfänger [CD],Canda,New Age,04/04/14,
Unwrapped [CD],Aldo,New Age,01/27/2004,
Crimson Sadhana [CD],Gurunam Singh,World,03/08/11,
Cities in Concert: Houston/Lyon 1986 [CD],Jean Michel Jarre,Electronic/Dance,05/13/2014,
Devya Presents: The Power of the Gong [CD],Devya,New Age,09/03/03,
Beachwalk [CD],Michael Antcliff,New Age,08/25/2009,
"Charlie Huskinson: Another World, Vol. 1 [DVD-Audio]",Mario Montagna,Classical,05/27/2014,
Silent Night [CD],Lisa Lynne,New Age,01/01/06,
Global Spirit [CD],Karunesh,New Age,09/02/03,
Angel Healing [CD],Erik Berglund,New Age,03/10/09,
Sounds of Nature: Europa Arctica Concerts Naturels - Taiga and Tundra [CD],Sounds Of Nature,New Age,06/24/2008,
Rebel Heart Tour [Blu-Ray/CD] [Blu-Ray Disc] [PA],Madonna,Pop,09/15/2017,5
Fragile [CD],Yes,Pop,06/21/2011,4.9
The Shack: Music from and Inspired by the Original Motion Picture [CD],Various Artists,Country,02/24/2017,4.7
Flicker [CD],Niall Horan,Pop,10/20/2017,4.8
OK Computer: OKNOTOK 1997 2017 [2 LP] [LP] - VINYL,Radiohead,Pop,07/07/17,5
Santana IV [CD],Santana,Pop,04/15/2016,4.5
 Bridges [CD],Cavo,Pop,02/23/2018,4
Thriller [CD],Michael Jackson,Pop,04/07/15,4.9
"Prayers for the Blessed, Vol. 2 [CD]",Sixx:A.M.,Pop,11/18/2016,4.6
Phoenix [Exclusive Patch] [Only @ Best Buy] [CD],CKY,Pop,06/16/2017,4.4
Parachutes [Limited Edition] [LP] - VINYL,Coldplay,Pop,09/02/08,4.9
Cry Baby [CD],Melanie Martinez,Pop,08/14/2015,4.5
Legacy [Two-CD] [CD],David Bowie,Pop,11/11/16,4.8
5150 [CD],Van Halen,Pop,10/25/1990,4.4
Lust for Life [LP] [PA],Lana Del Rey,Pop,10/06/17,4.7
The Very Best of Dwight Yoakam [CD],Dwight Yoakam,Country,07/27/2004,4.7
Brothers [CD],The Black Keys,Pop,05/18/2010,4.6
And Justice for None [Deluxe Version] [CD] [PA],Five Finger Death Punch,Pop,05/18/2018,
War [LP] - VINYL,U2,Pop,07/22/2008,5
Straight Outta Compton [Music from the Motion Picture] [CD] [PA],Original Motion Picture Soundtrack,Rap & Hip-Hop,01/08/16,4.6
Essential Bruce Springsteen [Bonus Tracks] [CD],Bruce Springsteen,Pop,10/16/2015,4.8
Prayers for the Damned [CD],Sixx:A.M.,Pop,04/29/2016,4.6
Opiate [EP] [CD] [PA],Tool,Pop,03/10/92,4.6
History of Hostility [LP] - VINYL,Pantera,Pop,10/30/2015,
Nocturnes [CD],Dan Chadburn,New Age,09/17/2012,
Color [CD],Mizuyo Komiya,New Age,04/06/99,
The  Dance of Life [CD],Yiling Huang,New Age,07/09/12,
The Fire in the Flint [CD],John Adorney,New Age,11/13/2012,
Mesmera Presents Gypsy Belly Dance [CD],Light Rain,World,01/01/09,
"Healing Sounds: Frequencies, Vol. 2 [CD]",Jonathan Goldman,New Age,06/10/14,
Skies Above Skies [CD],Constance Demby,New Age,07/24/2007,
Le Chant de l'Eau: Un Compositeur Dialogue Avec La Création [CD],Joël Roulleau,New Age,04/06/10,
Rape of the Earth [Bonus Tracks] [CD],Patrick Rondat,New Age,10/23/2006,
Let Me Make Music in Your Life [CD],Cynthia Hart,New Age,06/17/2016,
Mudra [CD],Prem Joshua,New Age,12/25/2001,
The Dawn of a New World [CD],Back to Earth,Easy Listening,11/17/2011,
Music & Poetry of the Kesh [LP] - VINYL,Todd Barton,New Age,03/23/2018,
"Exotic Blues & Rhythm, Vols. 1 & 2: Katanga! & Ahbe Cas [CD]",Various Artists,New Age,09/16/2016,
Dreamcatcher [CD],Secret Garden,New Age,05/22/2001,
Pilgrimage [CD],Robert Gass,New Age,09/19/2000,
Celestial Vibration [CD],Laraaji,Avant-Garde,02/10/17,
Continuum Steady State Meditation [CD],Charlie Balogh,New Age,06/17/2009,
Sorry I Make You Lush [CD],Wagon Christ,Electronic/Dance,07/13/2004,
Rest Well Sleep Well [CD],David Jones,New Age,07/20/2010,
Collection Bien-Etre: Feng Shui [CD],Various Artists,New Age,12/01/15,
"Frikyiwa Collection, Vol. 1 [CD]",Various Artists,Electronic/Dance,05/09/00,
The Gossamer Song [CD],Hui Fen Min,New Age,11/30/2004,
"Mimmelitt, Das Stadtkaninchen [CD]",Reinhard Lakomy,New Age,05/10/04,
The Essential James Taylor [Sony] [CD],James Taylor,Pop,10/29/2013,4.8
Complete Clapton [CD],Eric Clapton,Blues,10/09/07,4.8
The  Great Collapse [CD],Fit for an Autopsy,Pop,03/17/2017,
"Too Weird to Live, Too Rare to Die! [CD]",Panic! At the Disco,Pop,10/08/13,4.6
Glass Houses [CD],Billy Joel,Pop,10/20/1998,4.9
Now That's What I Call Music! 61 [CD],Various Artists,Pop,01/27/2017,4.5
The  North Corridor [CD],Chevelle,Pop,07/08/16,4.5
The  Best of David Gray [CD],David Gray,Pop,10/28/2016,4.6
Icon [CD],Fall Out Boy,Pop,03/06/12,4.5
When Legends Rise [CD],Godsmack,Pop,04/27/2018,
Open Book Winter Album [CD],Justin Furstenfeld,Pop,11/24/2017,5
Lionel Richie [LP] - VINYL,Lionel Richie,R&B Soul,12/08/17,
Ultimate Hits [Deluxe Edition] [CD],Steve Miller,Pop,09/15/2017,4.8
Pure Heroine [CD],Lorde,Pop,09/30/2013,4.6
Best of War [CD],War,R&B Soul,11/02/10,4.6
52nd Street [Enhanced CD],Billy Joel,Pop,10/20/1998,5
Now That's What I Call 90s Pop [CD],Various Artists,Pop,01/27/2017,4.5
Jomsviking [Deluxe Version] [CD],Amon Amarth,Pop,03/25/2016,4.8
The Essential Daryl Hall & John Oates [CD],Daryl Hall & John Oates,Pop,06/14/2005,4.8
"Party Tyme Karaoke: Pop Party Pack, Vol. 6 [CD + G]",Various Artists,Pop,05/26/2015,4.7
"Party Tyme Karaoke: Super Hits, Vol. 27 [CD]",Party Tyme Karaoke,Pop,08/26/2016,4.9
Let It Be [LP] - VINYL,The Beatles,Pop,11/13/2012,4.9
"Rise of the Blood Legion: Greatest Hits, Chapter 1 [CD & DVD]",In This Moment,Pop,05/04/15,4.6
Room 93: The Remixes [LP] - VINYL,Halsey,Pop,07/15/2016,4.5
Music to Balance Your Life [CD],Body & Soul,New Age,12/18/2007,
Wine Country Sunset [CD],Jack Jezzro,Easy Listening,05/18/2010,
The Essence [CD],Dharampal Kaur,World,11/12/13,
Latin Moods [Zyx] [CD],Various Artists,World,07/12/05,
Love and Light [CD],Angel Symphony,New Age,09/17/2002,
Prayer for Peace [CD],Various Artists,World,04/24/2012,
Add Colours to My Sunset Sky [CD],Trine Opsahl,New Age,01/19/2018,
Deep Calm [CD],Apollo Chamber Ensemble,New Age,10/06/09,
Rucken: Yoga Fur Unbewegliche [CD],Canda,New Age,04/04/14,
"Sign of Sublime, A [CD]",Sarah Jezebel Deva,New Age,08/24/2010,
The Sounds of Nature: Pine Forest [CD],Various Artists,New Age,04/04/03,
Hypnosis [CD],Thierry David,New Age,10/27/2014,
Even This [CD],Wayne Watson,Gospel & Christian,03/18/2008,
Chants to Awaken the Buddhist Heart [CD],Steven Halpern,New Age,11/14/2000,
At the Temple Door [CD],Ajeet Kaur,New Age,02/24/2015,
Sadhana [CD],Maneesh De Moor,New Age,06/27/2006,
Echoes of Life [CD],Lynn Tredeau,New Age,01/20/2017,
The Planets [CD],Tomita,Avant-Garde,11/29/2011,
Beauty Massage [CD],Janina Parvati,New Age,06/16/2015,
Asian Wellness Dreams [CD],Various Artists,New Age,02/04/14,
Inner Aura [CD],Don Dailey,New Age,01/27/2009,
"Nature Soundscapes, Vol. 2 [CD]",Various Artists,New Age,08/15/2006,
FLOW [CD],FLOW,New Age,10/06/17,
"Dari Bali, Vol. 2 (Chillpresso) [CD]",Various Artists,Electronic/Dance,07/13/2010,
Revival [CD],Light the Torch,Pop,03/30/2018,
I Am...Sasha Fierce [Deluxe Edition] [CD],Beyoncé,R&B Soul,11/23/2009,4.5
An Innocent Man [LP] - VINYL,Billy Joel,Pop,07/01/16,4
Parachutes [CD],Coldplay,Pop,11/07/00,4.6
Now That's What I Call Music! 59 [CD],Various Artists,Pop,08/05/16,4.5
The Captain and Me [CD],The Doobie Brothers,Pop,10/25/1990,5
California [Deluxe Edition] [CD] [PA],blink-182,Pop,05/19/2017,4.6
Life's Not Out to Get You [CD],Neck Deep,Pop,08/14/2015,4.6
Trust No One [Bonus Tracks] [CD],DevilDriver,Pop,05/13/2016,4.4
L.A. Woman [180 Gram Vinyl] [LP] - VINYL,The Doors,Pop,09/15/2009,5
The  Search for Everything [CD],John Mayer,Pop,04/14/2017,4.5
Songs About Jane [CD],Maroon 5,Pop,06/25/2002,4.7
Issues [CD] [PA],Korn,Pop,10/11/11,4.7
Coming Home [Bonus Tracks] [CD],Falling in Reverse,Pop,04/07/17,4.5
MTV Unplugged [LP] - VINYL,Eric Clapton,Pop,04/16/2011,5
The 20/20 Experience - 2 of 2 [LP] [PA],Justin Timberlake,R&B Soul,09/30/2013,4.5
"Everybody Else Is Doing It, So Why Can't We? [180-Gram Vinyl LP] [LP] - VINYL",The Cranberries,Pop,06/30/2017,5
The Next Day [Deluxe Edition] [CD],David Bowie,Pop,03/12/13,4.7
Phantom Anthem [CD],August Burns Red,Pop,10/06/17,5
The Time of Our Lives [CD],Miley Cyrus,Pop,11/09/09,4.8
The Very Best of Daryl Hall & John Oates [CD],Daryl Hall & John Oates,Pop,01/23/2001,4.9
Justified [LP] - VINYL,Justin Timberlake,Pop,11/19/2002,5
After Laughter [CD],Paramore,Pop,05/12/17,4.3
The Concrete Confessional [CD],Hatebreed,Pop,05/13/2016,4.5
Feng Shui [Laserlight] [CD],Various Artists,New Age,03/01/14,
Sound Healing [CD],Dean Evenson,New Age,06/16/1998,
Live at Iridium [CD],Kazumi Watanabe,Jazz,02/26/2016,
Tricoroll [CD],Kazumi Watanabe,Jazz,02/26/2016,
Mystic Ways [CD],Back to Earth,Easy Listening,08/11/08,
Nádúr [CD],Clannad,New Age,09/24/2013,
Sonorous [CD],Zander Zon,New Age,02/20/2010,
Winter & Christmas [CD],Amy Lauren,Children's,07/15/2008,
Themes [CD],Vangelis,Electronic/Dance,09/25/1989,
Annexus Quam (Osmose) [LP] - VINYL,Annexus Quam,New Age,06/12/09,
The  Book of Rounds: 21 Songs of Grace [CD],October Project,New Age,10/30/2015,
Through the Open Door [CD],Eckhart Tolle,New Age,12/28/2006,
"Spaghetti Western Themes, Vol. 2 [CD]",Lou Pecci,World,11/12/12,
Plum Blossom [CD],Various Artists,New Age,07/30/1996,
The Drone [CD],Circle of Sound,New Age,12/12/06,
The Collection [CD],Hilary Weeks,Gospel & Christian,04/01/07,
Spirit Walk: Natural Rhythms For Inspired Walking and Workouts [CD],Various Artists,New Age,07/10/12,
